year,G_XWDG_G01_GDP_PT,country,obs_code
2001,39.6438857186992,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
2002,41.4378430464402,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
2003,40.5657791864424,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
2004,41.001621236372,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
2005,37.3208049073875,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
2006,33.0368324031922,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
2007,26.9752571749522,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
2008,24.0071291246117,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
2009,26.0256266868269,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
2010,28.0897719998229,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
2011,29.5131014582867,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
2012,33.7412135164793,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
2013,35.0762237087586,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
2014,37.4364581728701,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
2015,39.7857065030929,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
2016,44.0555008420485,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
2017,47.0639751678703,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
2018,51.8394492922231,HN,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectHN"
